,precision,recall,f1-score,occurences
argument,0.8440913604766633,0.9454949944382648,0.8919202518363065,899.0
other,0.6666666666666666,0.3843137254901961,0.4875621890547263,255.0
accuracy,0.8214904679376083,0.8214904679376083,0.8214904679376083,0.8214904679376083
macro avg,0.7553790135716649,0.6649043599642305,0.6897412204455164,1154.0
weighted avg,0.8048857305619761,0.8214904679376083,0.8025690334573612,1154.0
