,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.7653267714383805,0.053624027381511286,0.023981394090473857,0.5475310066126607,0.25915359853640163,0.1158970125882168,0.5931355813322515,0.23005355224038543,0.10288307625496017,1378.4,24.49081460466355,10.952625256074468
other,0.6607714163529627,0.08719511040375297,0.03899483883367815,0.812406815882402,0.1037183105575146,0.04638423858360735,0.719199947136096,0.021360042941880826,0.009552501604072023,1373.6,24.49081460466355,10.952625256074468
accuracy,0.6792877906976744,0.07862477045200407,0.035162066289199594,0.6792877906976744,0.07862477045200407,0.035162066289199594,0.6792877906976744,0.07862477045200407,0.035162066289199594,0.6792877906976744,0.07862477045200407,0.035162066289199594
macro avg,0.7130490938956715,0.019227676918421345,0.00859887852779876,0.6799689112475313,0.07849139872891082,0.03510242064137704,0.6561677642341737,0.12562874209285246,0.056182881449481456,2752.0,0.0,0.0
weighted avg,0.7134349429346835,0.019049943265202374,0.008519393621701362,0.6792877906976744,0.07862477045200407,0.035162066289199594,0.6559836629006717,0.12569629083561173,0.05621309016560233,2752.0,0.0,0.0
