,precision,recall,f1-score,occurences
argument,0.7919096209912536,0.9786084215266831,0.8754154496928189,4441.0
other,0.6631205673758865,0.14070729872084273,0.23215394165114833,1329.0
accuracy,0.7856152512998267,0.7856152512998267,0.7856152512998267,0.7856152512998267
macro avg,0.7275150941835701,0.559657860123763,0.5537846956719836,5770.0
weighted avg,0.7622457297859117,0.7856152512998267,0.7272534836291482,5770.0
