,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.8407979900143072,0.04113979012812693,0.018398273461313317,0.9516282573345336,0.02798868665647608,0.012516921192964364,0.8916938730737648,0.013159812323578105,0.00588524698533202,2205.0,20.54263858417413,9.186947262284678
other,0.776462643245633,0.12726890321991077,0.056916383804312465,0.4022769996165504,0.22361359044039536,0.10000303778350422,0.47433236881797364,0.2619998704866339,0.11716990410085086,680.0,20.542638584174135,9.18694726228468
accuracy,0.8224610051993068,0.030702237818190817,0.013730458164567898,0.8224610051993068,0.030702237818190817,0.013730458164567898,0.8224610051993068,0.030702237818190817,0.013730458164567898,0.8224610051993068,0.030702237818190817,0.013730458164567898
macro avg,0.80863031662997,0.04324377053686481,0.019339202104766456,0.676952628475542,0.09818938342725798,0.04391162720242802,0.6830131209458692,0.13746054621651868,0.06147422511287746,2885.0,0.0,0.0
weighted avg,0.8255376461490792,0.003563134058000449,0.0015934819933267363,0.8224610051993068,0.030702237818190817,0.013730458164567898,0.7936785632090119,0.07050733140882191,0.03153183718844636,2885.0,0.0,0.0
