,precision,recall,f1-score,occurences
argument,0.8598856209150327,0.9469185784975259,0.9013059302076645,2223.0
other,0.7299771167048055,0.4818731117824773,0.5805277525022748,662.0
accuracy,0.8402079722703639,0.8402079722703639,0.8402079722703639,0.8402079722703639
macro avg,0.7949313688099191,0.7143958451400017,0.7409168413549696,2885.0
weighted avg,0.8300764598102943,0.8402079722703639,0.8276992911640014,2885.0
