,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.8164193170906028,0.027116331114066305,0.012126791934288972,0.9455674628129932,0.021676376666527036,0.009693970346448947,0.8758762796654971,0.01493036718936863,0.006677063192892146,437.6,8.203657720797473,3.668787265568828
other,0.6693635686347551,0.06659020753378112,0.029780046136270638,0.3322898680654111,0.09231285061077742,0.041283561832496256,0.43570406974240417,0.08288163407811172,0.03706579357698418,139.4,8.203657720797475,3.6687872655688287
accuracy,0.7968804159445407,0.023585477762501198,0.010547746311752463,0.7968804159445407,0.023585477762501198,0.010547746311752463,0.7968804159445407,0.023585477762501198,0.010547746311752463,0.7968804159445407,0.023585477762501198,0.010547746311752463
macro avg,0.7428914428626789,0.03677477112417543,0.016446177618130525,0.6389286654392021,0.03875140634739823,0.017330155763299854,0.6557901747039506,0.04612073096184431,0.020625817920532627,577.0,0.0,0.0
weighted avg,0.7807839754196911,0.02909478563645299,0.013011583694778672,0.7968804159445407,0.023585477762501198,0.010547746311752463,0.7691224935780232,0.03366494182652974,0.015055419676539285,577.0,0.0,0.0
