,loss,acc,auc,val_loss,val_acc,val_auc
0,0.6344922184944153,0.6399363875389099,0.6897522211074829,0.5865479111671448,0.6930063366889954,0.7548110485076904
1,0.583859920501709,0.6980918049812317,0.7583293914794922,0.567803680896759,0.6966394186019897,0.7750123739242554
2,0.5590876936912537,0.7253521084785461,0.7836027145385742,0.5639525651931763,0.7093551158905029,0.7804454565048218
3,0.5393218398094177,0.7273966670036316,0.8007749319076538,0.5667008757591248,0.7166212797164917,0.7808744311332703
4,0.5304600596427917,0.7387551069259644,0.8101493120193481,0.559471845626831,0.7193460464477539,0.792742133140564
5,0.5096911191940308,0.7507950663566589,0.8261376619338989,0.5683990120887756,0.7275204062461853,0.790588915348053
6,0.4994731843471527,0.7582916617393494,0.8351895809173584,0.5455349087715149,0.7247956395149231,0.7954397201538086
7,0.4844709038734436,0.7691957950592041,0.844944179058075,0.5566962957382202,0.7257038950920105,0.7913941740989685
8,0.4673892557621002,0.7757837176322937,0.8569528460502625,0.5861706137657166,0.7229791283607483,0.7925622463226318
9,0.44537320733070374,0.7975919842720032,0.8726439476013184,0.555916428565979,0.7157129645347595,0.796106219291687
