,precision,recall,f1-score,occurences
argument,0.7788018433179723,0.9780092592592593,0.8671113391482812,864.0
other,0.7246376811594203,0.1724137931034483,0.2785515320334262,290.0
accuracy,0.7755632582322357,0.7755632582322357,0.7755632582322357,0.7755632582322357
macro avg,0.7517197622386963,0.5752115261813537,0.5728314355908537,1154.0
weighted avg,0.7651903987547314,0.7755632582322357,0.719206361623751,1154.0
