,precision,recall,f1-score,occurences
argument,0.6167369901547117,0.6574212893553223,0.6364296081277213,1334.0
other,0.656390977443609,0.6156558533145275,0.6353711790393013,1418.0
accuracy,0.6359011627906976,0.6359011627906976,0.6359011627906976,0.6359011627906976
macro avg,0.6365639837991603,0.636538571334925,0.6359003935835112,2752.0
weighted avg,0.6371691681981915,0.6359011627906976,0.6358842402325979,2752.0
