,loss,acc,auc,val_loss,val_acc,val_auc
0,52.29787826538086,0.3700915277004242,0.572982668876648,50.92437744140625,0.2422010451555252,0.6787854433059692
1,48.776161193847656,0.3964686095714569,0.5824546217918396,47.605072021484375,0.2422010451555252,0.6720623970031738
2,45.48562240600586,0.4272328317165375,0.5773347616195679,44.51473617553711,0.2422010451555252,0.6637409925460815
3,42.388675689697266,0.4614093005657196,0.5824686288833618,41.50139617919922,0.2422010451555252,0.6746930480003357
4,39.485382080078125,0.49157774448394775,0.5819257497787476,38.664791107177734,0.2422010451555252,0.6671122312545776
5,36.745296478271484,0.5158966779708862,0.5870696902275085,35.87250900268555,0.2422010451555252,0.6634349822998047
6,34.16639709472656,0.5476357936859131,0.584052324295044,33.26176452636719,0.2422010451555252,0.6717462539672852
7,31.740432739257812,0.5705465078353882,0.5755338668823242,30.7338809967041,0.2422010451555252,0.6708663702011108
8,29.444293975830078,0.5993608832359314,0.5859972238540649,28.439790725708008,0.244150772690773,0.6662383675575256
9,27.288726806640625,0.6125764846801758,0.5760514736175537,26.291275024414062,0.39644715189933777,0.6723935604095459
10,25.260601043701172,0.6318582892417908,0.5791717767715454,24.265676498413086,0.6100519895553589,0.6711820363998413
11,23.348926544189453,0.6420950293540955,0.5727488398551941,22.39206314086914,0.6763431429862976,0.6783609986305237
12,21.54014015197754,0.6554731130599976,0.5779237747192383,20.62554168701172,0.7175043225288391,0.6787941455841064
13,19.83928871154785,0.6716135144233704,0.5853273868560791,18.96164894104004,0.7400346398353577,0.6788798570632935
14,18.2424259185791,0.6791420578956604,0.5861731767654419,17.41262435913086,0.7443674206733704,0.6794707775115967
15,16.747793197631836,0.688945472240448,0.5850982666015625,15.959085464477539,0.7510831952095032,0.6797940135002136
16,15.343526840209961,0.6989113092422485,0.5855967998504639,14.590566635131836,0.756065845489502,0.6822980642318726
17,14.02794361114502,0.705573320388794,0.5846915245056152,13.312385559082031,0.7666811347007751,0.6820189952850342
18,12.78840446472168,0.7126144170761108,0.5984078645706177,12.136938095092773,0.7554159164428711,0.6831271648406982
19,11.643296241760254,0.7135351896286011,0.5904229879379272,11.020323753356934,0.7658145427703857,0.6830558180809021
20,10.576898574829102,0.7159724831581116,0.5930840969085693,9.982650756835938,0.7660312056541443,0.6827279329299927
21,9.57337474822998,0.7268049716949463,0.5975024104118347,9.026688575744629,0.7658145427703857,0.6830321550369263
