,precision,recall,f1-score,occurences
argument,0.7285441830896376,0.8310369833212473,0.7764227642276422,1379.0
other,0.8023748939779474,0.6890021849963583,0.7413793103448276,1373.0
accuracy,0.7601744186046512,0.7601744186046512,0.7601744186046512,0.7601744186046512
macro avg,0.7654595385337926,0.7600195841588029,0.7589010372862349,2752.0
weighted avg,0.7653790544739579,0.7601744186046512,0.7589392387257874,2752.0
