,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.8327042543243323,0.03030700186121125,0.0135537032711762,0.935792962091434,0.027694736388691465,0.012385462636810231,0.8805218939041236,0.00871584155420672,0.0038978428392647288,431.0,10.000000000000002,4.47213595499958
other,0.7097468671679199,0.05987984694683545,0.02677908165108146,0.4446060200297273,0.09499898275380246,0.04248483664616649,0.5378093289416775,0.05559248613965452,0.024861715609296474,146.0,10.0,4.47213595499958
accuracy,0.8103986135181976,0.014004924679956267,0.00626319272082934,0.8103986135181976,0.014004924679956267,0.00626319272082934,0.8103986135181976,0.014004924679956267,0.00626319272082934,0.8103986135181976,0.014004924679956267,0.00626319272082934
macro avg,0.771225560746126,0.01651292212521048,0.007384803275826185,0.6901994910605806,0.03427510120957154,0.015328291248057447,0.7091656114229006,0.030287381474563283,0.013544928767518264,577.0,0.0,0.0
weighted avg,0.8025888483804747,0.011564662699313045,0.005171874386504035,0.8103986135181976,0.014004924679956267,0.00626319272082934,0.793391303284017,0.023656279099920557,0.010579409632425981,577.0,0.0,0.0
