,precision,recall,f1-score,occurences
argument,0.7991282237559026,0.9743135518157662,0.8780682498503294,2258.0
other,0.5606060606060606,0.11802232854864433,0.1949934123847167,627.0
accuracy,0.788214904679376,0.788214904679376,0.788214904679376,0.788214904679376
macro avg,0.6798671421809817,0.5461679401822053,0.5365308311175231,2885.0
weighted avg,0.7472899581424015,0.788214904679376,0.7296148969591894,2885.0
