,precision,recall,f1-score,occurences
argument,0.7855750487329435,0.9393939393939394,0.8556263269639066,429.0
other,0.59375,0.25675675675675674,0.3584905660377358,148.0
accuracy,0.7642980935875217,0.7642980935875217,0.7642980935875217,0.7642980935875217
macro avg,0.6896625243664718,0.5980753480753481,0.6070584465008212,577.0
weighted avg,0.7363720899591556,0.7642980935875217,0.7281114350798975,577.0
