,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.7774049238544573,0.015234672682204803,0.006813152746473797,0.9763390985792485,0.02398051284130832,0.010724411369694405,0.8653775005344239,0.011698712833552153,0.005231823429014359,436.0,11.000000000000004,4.919349550499539
other,0.7126893939393939,0.11976336236194414,0.05355980389104937,0.13148165916321258,0.08864630877911962,0.03964383447690957,0.20702051694130802,0.1147635679813787,0.051323827869356214,141.0,10.999999999999998,4.919349550499536
accuracy,0.7708838821490468,0.015078985604267748,0.006743527368576686,0.7708838821490468,0.015078985604267748,0.006743527368576686,0.7708838821490468,0.015078985604267748,0.006743527368576686,0.7708838821490468,0.015078985604267748,0.006743527368576686
macro avg,0.7450471588969256,0.05750602197338533,0.025717474849617238,0.5539103788712305,0.032567483425209647,0.01456462135897329,0.536199008737866,0.05391044700226997,0.024109484838895082,577.0,0.0,0.0
weighted avg,0.7612191909624315,0.028339150168406886,0.012673653240226481,0.7708838821490468,0.015078985604267748,0.006743527368576686,0.7057320353800737,0.023946122780509574,0.010709031666955136,577.0,0.0,0.0
