,precision,recall,f1-score,occurences
argument,0.8294243070362474,0.8983833718244804,0.8625277161862528,866.0
other,0.5925925925925926,0.4444444444444444,0.5079365079365079,288.0
accuracy,0.7850953206239168,0.7850953206239168,0.7850953206239168,0.7850953206239168
macro avg,0.71100844981442,0.6714139081344623,0.6852321120613803,1154.0
weighted avg,0.7703189918198067,0.7850953206239168,0.7740335498292974,1154.0
