,precision,recall,f1-score,occurences
argument,0.7626262626262627,0.5392857142857143,0.6317991631799164,280.0
other,0.6345609065155807,0.8265682656826568,0.717948717948718,271.0
accuracy,0.6805807622504537,0.6805807622504537,0.6805807622504537,0.6805807622504537
macro avg,0.6985935845709217,0.6829269899841856,0.6748739405643172,551.0
weighted avg,0.6996394903830779,0.6805807622504537,0.6741703598084922,551.0
