,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.6134088775787584,0.034327346580482525,0.015351656088230775,0.6362008071601422,0.10609516949710208,0.04744720221597649,0.6186919413425069,0.03211192514498621,0.01436088950251479,1366.6,30.237394067611064,13.522573719525441
other,0.6293859753975252,0.03783920015267553,0.01692220475112058,0.5973611267057704,0.11761978596007351,0.05260116738113994,0.604675347676333,0.05811620364722327,0.025990356389882487,1385.4,30.237394067611064,13.522573719525441
accuracy,0.6151889534883721,0.016351744186046485,0.007312722310137382,0.6151889534883721,0.016351744186046485,0.007312722310137382,0.6151889534883721,0.016351744186046485,0.007312722310137382,0.6151889534883721,0.016351744186046485,0.007312722310137382
macro avg,0.6213974264881418,0.010363617118691812,0.004634750474035079,0.6167809669329564,0.014471203180552866,0.006471718805585474,0.6116836445094199,0.02130699303086421,0.00952877696262533,2752.0,0.0,0.0
weighted avg,0.621978279390828,0.010372365081119793,0.004638662681765795,0.6151889534883721,0.016351744186046485,0.007312722310137382,0.611132063105666,0.02222846990219704,0.009940873947424137,2752.0,0.0,0.0
