,precision_mean,precision_std,precision_sem,recall_mean,recall_std,recall_sem,f1-score_mean,f1-score_std,f1-score_sem,occurences_mean,occurences_std,occurences_sem
argument,0.8544863732835246,0.003908882317457135,0.0017481053155762132,0.9507072811842849,0.00563128933919628,0.0025183891526825504,0.9000157957567207,0.0019187387999570597,0.0008580860775540712,4385.8,10.779610382569395,4.820788317277536
other,0.7576460747584269,0.017760467098905844,0.00794272234906039,0.48691880990121106,0.017767565693488554,0.007945896937066719,0.5925395934994666,0.011774629401946216,0.005265774350523887,1384.2,10.779610382569482,4.820788317277575
accuracy,0.8394454072790294,0.003043063039475071,0.001360899163216677,0.8394454072790294,0.003043063039475071,0.001360899163216677,0.8394454072790294,0.003043063039475071,0.001360899163216677,0.8394454072790294,0.003043063039475071,0.001360899163216677
macro avg,0.8060662240209758,0.008197073621499419,0.003665842766848616,0.718813045542748,0.007169463415707148,0.003206281511943803,0.7462776946280937,0.006428734981119882,0.0028750176854229763,5770.0,0.0,0.0
weighted avg,0.8312671398601268,0.003916981768857562,0.0017517275003585753,0.8394454072790294,0.003043063039475071,0.001360899163216677,0.8262575020273933,0.00371340431071739,0.001660684893340967,5770.0,0.0,0.0
