,precision,recall,f1-score,occurences
argument,0.776241134751773,0.9954524783992724,0.8722853157999602,4398.0
other,0.8461538461538461,0.08017492711370262,0.14647137150466044,1372.0
accuracy,0.7778162911611786,0.7778162911611786,0.7778162911611786,0.7778162911611786
macro avg,0.8111974904528096,0.5378137027564875,0.5093783436523103,5770.0
weighted avg,0.7928650931648829,0.7778162911611786,0.6997000936902286,5770.0
